Name,K_0,K_1,K_2,n,lambda_r_max,omega,T_ref,rho,K_T,K_T2
Alpha-quartz,8.79,0,0,1.48,1.62,153,558,2648,37.1,5.99
Beta-quartz,0.99,0,0,-1,1.62,153,558,2530,57,4
orthoclase,1.79,0,0,-0.27,0.39,264,864,2555,58.3,4
plagioclase(anorthite),2.2,-2.18,1.9,-0.21,0,0,0,2620,82.5,3.2
hornblende,2.65,0,0,0.5,0.345,256,762,3248,94,4
clinopyroxene,4.25,0,0,0.54,0.345,256,762,3272,113,4.8
orthopyroxene,3.37,0,0,0.3,0.345,256,762,2972,105.8,8.5
olivine,3.09,-1.17,3.35,0.49,0.345,256,762,3222,128,4.2
spinel,11.94,5.47,8.71,1.24,0,0,0,3575,205,4.1
garnet(pyrope),4.97,-7.42,8.45,0.37,0,0,0,3565,173,5
phlogopite,2.27,0,0,1.54,0.1166,417,520,2788,54,7.8
pargasite,1.7066,0,0,0.5,0.1725,835.86,762,3074,91.2,4
